feature_name,feature_importance,rank
ic.eps.max,0.4296325050279601,1
ela_meta.lin_simple.coef.min,0.42248410102379597,2
ela_meta.quad_w_interact.adj_r2,0.1818104854462212,3
ic.eps.ratio,0.048425806326339124,4
ela_level.qda_mda_10,0.039958582259730924,5
ela_meta.lin_simple.intercept,0.03522191462368989,6
ic.eps.s,0.017489438470148205,7
ela_level.lda_qda_10,0.015731401425033344,8
ic.m0,0.010887285350022905,9
ela_level.lda_mda_10,0.010589935768466367,10
ela_level.mmce_qda_50,0.009199247966812409,11
disp.diff_median_02,0.00843649048826606,12
ela_level.lda_qda_50,0.007130438584957076,13
ela_level.mmce_qda_10,0.006522406833416674,14
pca.expl_var_PC1.cov_init,0.005267444149582434,15
ela_level.mmce_lda_25,0.0048709916112641295,16
ela_distr.number_of_peaks,0.004836209877747703,17
ela_level.lda_mda_25,0.0043734831180609075,18
disp.ratio_mean_02,0.004284393803012526,19
disp.ratio_mean_10,0.004084079005836088,20
disp.diff_mean_25,0.004042944239147362,21
disp.ratio_mean_05,0.003537025161533373,22
ela_meta.quad_simple.adj_r2,0.0034998916271302533,23
ela_level.mmce_lda_50,0.0034123674272376237,24
nbc.nn_nb.sd_ratio,0.003323525021413793,25
disp.ratio_median_02,0.0032360112994999457,26
disp.ratio_median_05,0.0029988135469150435,27
ela_level.mmce_qda_25,0.0026698479719247095,28
disp.ratio_median_10,0.0021432360019419524,29
nbc.nn_nb.mean_ratio,0.0019976206758504796,30
ela_meta.quad_simple.cond,0.0019780490780297094,31
disp.diff_median_25,0.0019307411587473305,32
ela_distr.skewness,0.0017580155489122114,33
nbc.nb_fitness.cor,0.001742318210165478,34
ela_level.mmce_lda_10,0.0015938323495531543,35
ela_level.qda_mda_50,0.0014246692987673986,36
pca.expl_var_PC1.cor_x,0.0013224647516130214,37
ela_level.qda_mda_25,0.001307711802133535,38
nbc.nn_nb.cor,0.0012827440021580111,39
ela_meta.lin_w_interact.adj_r2,0.0012071900000689305,40
ela_meta.lin_simple.coef.max,0.001137142176742448,41
disp.ratio_mean_25,0.0010078575495483127,42
disp.diff_mean_02,0.0009107318762821931,43
nbc.dist_ratio.coeff_var,0.0008398236194441701,44
ela_level.mmce_mda_10,0.0008214227476131404,45
ela_level.mmce_mda_25,0.0007478852789014722,46
ela_meta.lin_simple.adj_r2,0.0006398195391244862,47
disp.diff_mean_10,0.0005775518988905484,48
ic.h.max,0.00047978393070288787,49
ela_level.mmce_mda_50,0.00025571888114536603,50
ela_distr.kurtosis,9.757713291970749e-05,51
ela_meta.lin_simple.coef.max_by_min,6.430948961362698e-05,52
disp.diff_median_10,6.37539431076226e-05,53
ela_level.lda_mda_50,0.0,54
ela_level.lda_qda_25,0.0,55
disp.ratio_median_25,0.0,56
disp.diff_median_05,0.0,57
pca.expl_var.cor_init,0.0,58
pca.expl_var.cov_init,0.0,59
pca.expl_var_PC1.cor_init,0.0,60
disp.diff_mean_05,0.0,61
