f_id,i_id,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,26_1,27_1,28_1,29_1,30_1,1_1
1,1,0.46533745539692983,0.15351636741617836,0.6723232320604949,-0.6465343531862691,-0.7630692267313703,0.3871167691925863,-0.21321679111771275,-0.08654644819652546,-0.5849350792620442,-0.4771793295862736,-0.6492246359408904,0.3478313290254994,0.19748575485829234,0.02280578560654789,-0.7226623139610058,0.10540422532582838,0.053885948719451515,0.40466508160765047,0.23854707117816354,0.16743319559326264,-0.2618639656522501,0.5441722295403627,0.02081659930208113,-0.44502428799259075,-0.05750158386987447,0.2495946985302281,-0.03568485478354155,-0.1031376694241053,0.4475868488277326,
2,1,,0.05778588011762131,0.20011119707233593,-0.4790108754999165,-0.4585243219692825,0.17107346996689254,0.05237286740203129,0.067924323592775,-0.46591712379325534,-0.46868590839247526,-0.47665487409124996,0.1173108485074863,0.1708950736323558,0.29115292251889313,-0.4615142921050719,0.1889171160868235,0.7295236916541814,-0.18860044847633128,0.7046041865750865,0.33005559040766386,-0.10120431600012614,0.10149425024821968,0.1569651004789242,-0.42332476976041344,-0.2704395991611881,-0.4055831668495533,-0.4652853952703657,-0.21107028855168797,-0.17786992704721105,0.7563216871647973
3,1,0.1319244256270371,,0.1186889011206621,-0.5245784174077421,-0.5502050851835922,-0.3942564876176744,-0.6859270512701632,-0.7470670850040828,-0.06309060674159017,-0.2303205018687513,-0.38974023568913907,-0.6935465568662689,-0.5819744956555555,0.8003325988169585,-0.3002842226739133,0.9745641578835474,0.7673218703146876,-0.2901817097736106,0.6490437153772064,0.6897332354963914,0.6494127962187753,-0.42562201009329614,-0.38167471784816476,-0.3643088949245208,-0.043801675227786996,-0.25896821425868666,-0.050205035077268256,0.8626361543059172,0.4125398630614209,0.49132165215373114
4,1,0.06148394550965486,-0.6380192197735144,,-0.6912984936439917,-0.4872131904760504,0.913057495401399,0.7592305488525701,0.8335399683298169,-0.8104286255293873,-0.8045705689729439,-0.7608056258599449,0.8837012957238108,0.9428085777170137,0.603841875144411,-0.6064400477674701,-0.5072220776234977,-0.1791169753098074,0.58183463268415,-0.536953064708704,-0.040972561009239516,0.17312671395416557,0.9235197724549392,0.9000034374786922,-0.03778423667619468,0.6810712309940287,0.09852343452429235,-0.7277846499580061,-0.41960947132817195,-0.2655308265748133,0.19207780296549182
5,1,-0.38313300578191867,-0.40811091148978296,-0.5977993132358335,,0.9606400557587557,-0.4230182716043578,0.16686693433780986,0.21876013577012143,0.8387130224682756,0.8385281235748777,0.9935937843621256,-0.01727818862678232,0.03313208408999957,-0.3155396953934366,0.9943612104322774,-0.4551327395314779,-0.5933779251522069,-0.5085430254882892,-0.4930188274494167,-0.7619040930144958,-0.49343306189285796,-0.43235130898206076,-0.4048796611190486,0.14516237347805716,0.2475811647518571,-0.10549797248790527,0.4252191369145657,-0.46889270894307833,-0.5953870027938297,-0.822306311923954
6,1,-0.38033305365085246,-0.6640064179551577,-0.30765939294826383,0.9558969719875091,,0.12855158224080476,0.6950460831025433,0.6750449642303696,0.6318764794258153,0.6377565658387915,0.9340229925335952,0.5637532924583482,0.5601081540597599,-0.7457066244447428,0.9666311173724697,-0.7337273365564112,-0.6667779320874829,-0.30933047782582035,-0.6513514953717423,-0.8024345082540263,-0.7442373687269568,-0.13334407419519345,-0.24370875083697885,0.3044240994787213,-0.04400288187043544,-0.1852655235369518,-0.3311067456912786,-0.5629341723791033,-0.7080647268305016,-0.8035788606021139
7,1,-0.5182129546598895,-0.3509887740156872,0.42186783539608397,0.12821861319324324,0.20506309495345498,,0.5208525701758175,0.4997700022372771,-0.1735818536520033,-0.17478272655949234,0.05809424500295135,0.6883586885013873,0.5549230093864694,-0.4333867260698243,0.14660147267375212,-0.21063696792927677,-0.7341824974475433,0.5457704863238408,-0.596126057684832,-0.29761797840466864,-0.19727466042680541,0.5214440271541554,0.6760129547306677,0.8941061818923902,0.4905773118901444,0.5806464779531528,-0.08518674548834371,-0.11427508978388623,-0.04155550952628606,-0.35380485176345644
8,1,0.0061388067895519205,-0.8487507576463655,0.13954712269408753,0.14207253064853165,0.34774969877229966,0.7152008032424304,,0.75758101931849,-0.3491543762957128,-0.2970518208876678,0.0823307131167611,0.8923754003109317,0.7597764053426753,-0.10217833776474405,0.26251505455734714,-0.8236469938316826,-0.5055975862684603,0.42363478398824195,-0.6994552125190117,-0.24558900442375364,-0.35198395279782213,0.19500476193947858,0.26578386244035124,0.030722881116343137,-0.1147287931696308,-0.26314140477313375,-0.5663765406599255,-0.3406048316752668,-0.23407681973255,-0.09853204097390211
9,1,-0.29181145222747706,-0.7806651956510235,0.25345979936550633,0.4277362970557974,0.6304576599813448,0.6392863179591584,0.9992608479940642,,-0.08637997633013428,-0.041052929965145424,0.38964417259357176,0.932364051493991,0.9891789757413795,-0.2152805806181981,0.5190968783449684,-0.7015483773907725,-0.56328260451648,0.06038203939714648,-0.6902186164970909,-0.6363052577089636,-0.3418569609802673,0.3602174172849135,0.35428342693091586,0.43918188278382364,0.012844503301371102,-0.17780249467890186,-0.3560828703821528,-0.7203128227072968,-0.6295753569396472,-0.5486122912496842
10,1,-0.23079543404064995,-0.25412098647372483,0.24065327512788592,0.6201339286196413,0.4794758454720883,-0.22843557091073174,0.004561756053916177,-0.011053216880368533,,0.9999835602190168,0.5613388855572777,-0.31623154865770475,-0.12093136605896349,-0.07101012210777169,0.5743140881130712,-0.42052982936378336,0.2584610848055209,-0.038185754377587866,-0.3123530729421484,-0.52923401278125,-0.08360911869218368,0.3128233477255451,-0.4055113494885578,-0.4000401139223313,0.0382103117801299,-0.11274202629209973,-0.08434559381961892,-0.33938741094581903,-0.43247739848649114,-0.4332237787183617
