model,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,26_1,27_1,28_1,29_1,30_1
RF,4.26502297851672,5.871744988567838,0.6952352062900409,0.5728599473038127,0.4201577128367695,0.5325730550086896,1.9522192311496118,0.3018172091668634,0.82832317684105,0.4291631184867355,1.4884495002067712,1.3159321424272943,1.0229951826164831,2.348229366513877,2.5408693813491,0.6205293670831338,1.9324993909292791,1.2799533747819622,1.6736111607746889,2.4577356026212724,0.9186433272120298,0.3695750586351074,0.4335603141764517,0.34537141225913315,0.48484233795604204,0.11379448573264961,0.7817377036516142,0.7304080914492106,1.064053549644088,0.8970947786473049
0.9,4.26502297851672,5.871744988567838,0.08223829377833614,0.3748352409392488,0.12753840066800426,0.17129030080705498,1.2666918922029962,0.3018172091668634,0.9781543171916292,0.6566811759341109,1.0576040822426975,1.374651750351165,0.5277526482993498,1.4680265772536554,2.5408693813491,0.40218889767514,1.396105592387996,1.2799533747819622,1.6736111607746889,2.4577356026212724,0.9186433272120298,0.3695750586351074,0.4335603141764517,0.3151579365468482,0.48484233795604204,0.11379448573264961,0.7817377036516142,0.7304080914492106,1.064053549644088,0.8970947786473049
0.7,4.26502297851672,5.871744988567838,0.6026201401228453,0.15173654013657334,0.12753840066800426,0.5312696813754403,1.524482244452264,0.5926532474073081,1.0137450149599112,0.8050516502457181,1.7094797459535716,1.374651750351165,0.917702538292872,1.8090545742748674,2.5408693813491,0.764140108055708,1.8712916174856242,0.9934421574077499,1.3784325703340274,2.4517187254217854,2.397709691279722,0.3695750586351074,0.934259887973679,0.9552561713646401,0.48484233795604204,0.11379448573264961,0.6297827549634079,1.304053141295568,0.750808559383537,0.19173607371804646
0.5,4.433746123062232,4.90402480365935,0.5161702480894097,0.12453515205577159,0.12753840066800426,0.5312696813754403,1.502898249682059,0.3928443578974019,0.7281479100710746,0.8050516502457181,1.7094797459535716,1.4349569766746828,1.0652589661739356,1.7824281350864837,1.7395749649480257,0.764140108055708,1.8712916174856242,0.49459185519434135,1.5662663652699087,2.1919804158940606,1.2252337733226488,0.022489646577036337,0.9201333596805978,0.9019888273362264,0.48484233795604204,0.7376075204499151,0.3285058007991486,1.304053141295568,0.8892240434428826,0.12042923962567453
