feature_name,feature_importance,rank
ic.eps.max,0.0392083663815034,1
ic.eps.s,0.0329365694591427,2
ela_meta.quad_w_interact.adj_r2,0.02856149305949306,3
ela_meta.lin_simple.coef.max,0.028142123737261365,4
disp.diff_median_25,0.024344805943983486,5
ela_level.lda_qda_50,0.023759776526019596,6
disp.ratio_median_05,0.02328410682859038,7
ela_level.qda_mda_10,0.021432194227105385,8
ela_meta.lin_simple.coef.min,0.021379532358771332,9
ela_level.mmce_qda_50,0.020374083778970313,10
pca.expl_var_PC1.cor_init,0.02019855313127477,11
disp.ratio_mean_05,0.017820089146938826,12
disp.diff_mean_25,0.017337498510246744,13
ic.eps.ratio,0.016114173933975483,14
ela_meta.lin_w_interact.adj_r2,0.01593463457049182,15
disp.diff_median_05,0.015556485767345828,16
disp.ratio_mean_25,0.015193336764610085,17
ela_meta.lin_simple.intercept,0.0146709688264968,18
disp.diff_mean_02,0.014645580159612086,19
disp.diff_mean_10,0.014629236409174884,20
disp.diff_median_02,0.01437792107943213,21
disp.ratio_mean_02,0.013825871126734765,22
ela_level.lda_mda_25,0.013729436202136118,23
ela_meta.lin_simple.coef.max_by_min,0.012938901792885076,24
ela_level.lda_qda_25,0.011535914880118752,25
disp.diff_mean_05,0.011459273181361425,26
nbc.nb_fitness.cor,0.011426250894233308,27
ela_level.mmce_qda_25,0.01128127582295639,28
ela_meta.quad_simple.adj_r2,0.011070704778558288,29
ela_level.qda_mda_50,0.010120042501744657,30
disp.ratio_mean_10,0.009525235832636505,31
ela_level.mmce_mda_10,0.009507081766341834,32
disp.diff_median_10,0.009466676680567322,33
ela_level.mmce_lda_50,0.008316690302539136,34
nbc.nn_nb.sd_ratio,0.008310514169836091,35
ela_level.lda_qda_10,0.008255382628183738,36
ela_meta.lin_simple.adj_r2,0.008116967916812726,37
ic.h.max,0.008116676425737086,38
disp.ratio_median_25,0.00799680196086088,39
nbc.nn_nb.mean_ratio,0.007894257537309561,40
disp.ratio_median_02,0.007219187510959729,41
ela_level.qda_mda_25,0.007133840953770183,42
ela_level.lda_mda_50,0.006905231437498974,43
ela_level.mmce_lda_25,0.006066368064640473,44
disp.ratio_median_10,0.006020005196566502,45
nbc.dist_ratio.coeff_var,0.005727017212752915,46
nbc.nn_nb.cor,0.005726301468862591,47
ela_meta.quad_simple.cond,0.005632026936635667,48
ela_level.mmce_mda_50,0.005290188144074422,49
ela_level.lda_mda_10,0.005207452407241392,50
ela_distr.skewness,0.005187042304565503,51
ela_level.mmce_mda_25,0.004927208462891245,52
pca.expl_var.cor_init,0.004852321005506002,53
ela_level.mmce_lda_10,0.0046787944657855915,54
ic.m0,0.004085222633739326,55
ela_distr.number_of_peaks,0.0038817030205228298,56
ela_level.mmce_qda_10,0.003001479673709361,57
pca.expl_var_PC1.cov_init,0.002451389331356331,58
ela_distr.kurtosis,0.0024007285163041943,59
pca.expl_var.cov_init,0.00185880334976648,60
pca.expl_var_PC1.cor_x,0.0017527835311622422,61
