feature_name,feature_importance,rank
ela_meta.quad_w_interact.adj_r2,0.04726073305740447,1
ic.eps.max,0.03968167856505698,2
ic.eps.ratio,0.03851235665566571,3
ela_meta.lin_simple.coef.max,0.03433025711676212,4
disp.diff_mean_05,0.033060671586347255,5
disp.ratio_mean_02,0.03304259889934304,6
ela_level.lda_qda_50,0.028130740376176654,7
disp.ratio_median_02,0.02790730660349564,8
disp.ratio_mean_10,0.02696785338881108,9
ela_level.lda_mda_25,0.02450835449744271,10
ela_level.lda_mda_50,0.023904057674809288,11
disp.diff_median_10,0.02221762920506237,12
ela_level.mmce_qda_50,0.01886034804496559,13
disp.diff_mean_25,0.017060228041540604,14
ela_level.mmce_mda_10,0.016490496460889462,15
ela_meta.lin_simple.coef.min,0.01641285115262202,16
ic.eps.s,0.01592151264711643,17
disp.diff_median_05,0.015339937629353933,18
nbc.nn_nb.cor,0.014914659500075885,19
ic.m0,0.0131198298141127,20
ela_level.qda_mda_10,0.012924781967861015,21
disp.ratio_mean_05,0.012539806689263928,22
ela_level.lda_qda_25,0.011428208875425954,23
ela_level.qda_mda_50,0.010918569259525302,24
disp.diff_median_25,0.010804938278822607,25
disp.diff_mean_02,0.010742089517738944,26
disp.ratio_median_25,0.01028556309775094,27
disp.ratio_median_05,0.010225229123913597,28
ela_meta.quad_simple.adj_r2,0.010218219691170932,29
ela_level.mmce_qda_25,0.009149875529750311,30
ela_level.lda_qda_10,0.009055493462277712,31
ela_level.mmce_lda_10,0.008855964761757807,32
nbc.nb_fitness.cor,0.008081639957646344,33
ic.h.max,0.007824545465834516,34
ela_level.mmce_mda_50,0.007245088602881152,35
disp.diff_mean_10,0.00595927242153883,36
ela_distr.skewness,0.005598797127577435,37
ela_distr.number_of_peaks,0.005534125269505346,38
ela_level.mmce_lda_50,0.005043620328615278,39
ela_level.qda_mda_25,0.0044519523917635,40
ela_level.mmce_lda_25,0.004345924305553378,41
disp.diff_median_02,0.004306348694406682,42
ela_meta.lin_simple.coef.max_by_min,0.004129578463543788,43
ela_level.mmce_mda_25,0.0035775101766629697,44
ela_level.mmce_qda_10,0.0032745386702716507,45
ela_meta.quad_simple.cond,0.0019821309318434994,46
pca.expl_var.cov_init,0.0009620125616176846,47
ela_level.lda_mda_10,0.0009507898394816404,48
pca.expl_var_PC1.cor_init,0.0,49
pca.expl_var_PC1.cor_x,0.0,50
pca.expl_var.cor_init,0.0,51
nbc.nn_nb.sd_ratio,0.0,52
nbc.nn_nb.mean_ratio,0.0,53
ela_distr.kurtosis,0.0,54
nbc.dist_ratio.coeff_var,0.0,55
disp.ratio_mean_25,0.0,56
disp.ratio_median_10,0.0,57
ela_meta.lin_w_interact.adj_r2,0.0,58
ela_meta.lin_simple.intercept,0.0,59
ela_meta.lin_simple.adj_r2,0.0,60
pca.expl_var_PC1.cov_init,0.0,61
