f_id,i_id,log_precision
1,1,6.571791903356755
2,1,7.314739743983599
3,1,3.507980174660727
4,1,1.5747836546184113
5,1,1.3296543136165155
7,1,0.3063220950801281
8,1,1.503573023876318
9,1,1.758035885209552
10,1,2.51350872149812
11,1,3.140267385776744
12,1,0.299819588930029
13,1,0.1963571447285205
14,1,0.1482593642036202
15,1,0.8801835554730393
16,1,0.678422968713823
17,1,4.36769196850744
18,1,1.9880849079758027
19,1,0.6061994653919722
20,1,1.4916809762741832
21,1,2.6950158480093407
22,1,1.6894534452853376
23,1,2.3923631152851392
24,1,2.677307576119702
25,1,2.32289852957719
26,1,2.24160411064022
27,1,2.7194319169154206
28,1,2.7578817466149648
29,1,3.7888603963403593
30,1,3.3512968272173733
