model,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,7_1,7_2,7_3,7_4,7_5,8_1,8_2,8_3,8_4,8_5,9_1,9_2,9_3,9_4,9_5,10_1,10_2,10_3,10_4,10_5,11_1,11_2,11_3,11_4,11_5,12_1,12_2,12_3,12_4,12_5,13_1,13_2,13_3,13_4,13_5,14_1,14_2,14_3,14_4,14_5,15_1,15_2,15_3,15_4,15_5,16_1,16_2,16_3,16_4,16_5,17_1,17_2,17_3,17_4,17_5,18_1,18_2,18_3,18_4,18_5,19_1,19_2,19_3,19_4,19_5,20_1,20_2,20_3,20_4,20_5,21_1,21_2,21_3,21_4,21_5,22_1,22_2,22_3,22_4,22_5,23_1,23_2,23_3,23_4,23_5,24_1,24_2,24_3,24_4,24_5
RF,0.5585756151569643,0.5615265394013418,0.5601654475297434,0.5949841059714015,0.5590904024166372,3.308102781793167,3.757420007105349,3.1820523701851435,3.779844363056871,3.896006967854185,0.218869180081533,0.19665656923064745,0.24640645999391686,0.21321961253606347,0.22810412070290131,0.005265725180450653,0.3740671424844586,0.0967175620459324,0.05522367295348363,0.13525106668291942,0.021431343534585603,0.0354367094014386,0.0755260068956672,0.0577179522877633,0.10931663255968621,0.3687911054316979,0.3278950577233717,0.4336654351858378,0.3736273561355836,0.4397233468033146,0.4144435425968056,0.6725416724123197,0.6184855433818779,0.9078430907675807,0.876971600925621,0.08192463785324988,0.07517514972023887,0.08786323056187584,0.060094169256046825,0.036466769660206344,0.851224218515023,0.8322753737158826,0.8607261173330361,0.8285609136782763,0.5928287277860693,2.582965967584162,2.574793253500867,2.7148003516293056,2.69443608820409,2.780967047650937,0.7598841586253795,0.8466234163582083,1.9335696213427456,1.902435830268816,0.8270074774972851,1.7413628741522231,0.9544830598097747,1.5317077171062223,1.6709202126953437,1.2461344811860577,0.28549553247133264,0.06519924823992906,0.1813918398703045,0.36356491867694474,0.4158132845410225,0.9572847422783806,0.9443300167300792,0.868797956020432,0.7579777530036522,0.9265428462227895,0.037903639431182024,0.042889407434575366,0.04217804080854459,0.10945420532980732,0.10744105230123924,0.6524532273629108,0.6590194993341185,0.6465782696111342,0.6665157950483119,0.6008486367048596,0.19844262350908437,0.2173441273640132,0.22881826724799859,0.32702091691634017,0.2216511036925718,0.832266140664687,0.3532098344737111,0.09007809579199222,0.06871966663631202,0.32195578582488127,0.057855062606279484,0.0509937062079272,0.07225822416604033,0.07225648961015207,0.0542508635834813,0.6296786610903357,0.6346387107804785,0.619867490308934,0.6240054693619353,0.6157612184625222,0.2513743130153311,0.23473839104599925,0.420611742178435,0.3514447920820656,0.3198079274584287,0.02094695536119162,0.4381245271847798,0.08752448295973425,0.13019585168615788,0.20814107009729899,0.5605820248241453,0.5873063651591353,0.5595643474378624,0.5873388901841491,0.569773227949659,1.1351372724630115,1.1305098383001746,1.1304799346539882,1.1576689280317356,1.1348880483612875
0.9,1.2000614327640509,1.2114735972482187,1.2101225999273368,1.2308002799485587,1.2092042676363444,3.660474592362826,3.757420007105349,3.28004612260606,3.779844363056871,3.8691270722407696,0.39637716929457945,0.1383514453152983,0.0036503999414834176,0.11536691971473334,0.15474019199956768,0.005265725180450653,0.3740671424844586,0.0967175620459324,0.05522367295348363,0.13525106668291942,0.021431343534585603,0.0354367094014386,0.0755260068956672,0.0577179522877633,0.10931663255968621,0.3687911054316979,0.3278950577233717,0.4336654351858378,0.2694340386399092,0.4397233468033146,0.022358316767614905,0.2453861813482512,0.6184855433818779,0.5048454795927533,0.5068848117762184,0.08192463785324988,0.12706200390396916,0.08786323056187584,0.060094169256046825,0.036466769660206344,0.851224218515023,0.8322753737158826,0.8607261173330361,0.8285609136782763,0.5928287277860693,2.6878961200703353,2.679594593919365,2.828909834383366,2.798328500345797,2.9460456225750757,1.5664426564324745,0.13926987148948644,2.1869106318683995,1.3910341749911472,0.8202558121942412,1.4590369550557414,0.6721571407132929,1.2493817980097406,1.388594293598862,0.963808562089576,0.733683805290565,0.5272326852741631,0.679494816359578,0.8474134573318359,0.9080659302701826,0.8285425807135447,0.7238717424095942,0.936314747620534,0.6465467976364588,0.9359182740264534,0.6046440167952201,0.4514340260400491,0.4944284641482486,0.5828872932789164,0.10744105230123924,0.6412744087778122,0.6493736443344842,0.6367842004255313,0.6542560567063587,0.5906550043662425,0.1282103294672282,0.24083870397476825,0.36631380368676614,0.41961808324711525,0.3001039325111675,0.1887014291105733,0.45308099304879756,0.311453609494199,0.12943518211239202,0.4566318499895856,0.5153102144244286,0.5221715708227809,0.07225822416604033,0.07225648961015207,0.5225170521517941,0.7836648396382467,0.7855027506582333,0.7708281494064587,0.7748242423872692,0.7665428524630323,0.19235520823764707,0.17571758480549549,0.4116744859128665,0.3270374737818158,0.25143673896093777,0.033825885443361514,0.3621213827109422,0.006731921786791273,0.05556996804956116,0.13783924220374866,0.5887958335922161,0.6113774748423499,0.5868052612569412,0.6103427405501197,0.5945945598161477,1.1518801510684533,1.1471074999878872,1.1470964087516209,1.1744295908909455,1.1515968790996012
0.7,0.990993046590945,0.9746969511251701,0.9736800755712733,0.9937643412813995,0.9816158177720465,2.806913158614431,3.0953615317799166,2.2774838178457646,3.046599432124738,2.901533352182975,0.2996397277075531,0.2545505593125026,0.21431005779116874,0.2709896202122575,0.43614764167633524,0.03555363119842103,0.2638063338603873,0.37365223301584494,0.05522367295348363,0.13525106668291942,0.1736199244679228,0.13322503646541908,0.14961259466223448,0.0577179522877633,0.10931663255968621,0.3992727415592825,0.1365522365101699,0.23898542864403516,0.41274932234985773,0.4350650383701522,0.27375228238705795,0.20085313412545935,0.5267694820735791,0.5361861097172935,0.49508289875366485,0.3961242180089788,0.30740553023519257,0.47287748621442316,0.37302699134219197,0.3131683580326905,0.9820893765350918,0.96721521028915,0.9972303407995919,0.9630840827507463,0.7277059194563256,2.8722794590123213,2.8638214055152984,3.002031497283877,2.980438118410166,3.0631753281965506,0.37304361944161046,0.3922020144983387,1.1097356073449118,1.1858195533294724,0.37247113847929403,1.4572227020910153,0.6721571407132929,1.2493817980097406,1.388594293598862,0.9620724623514887,0.7961473449089074,0.5668942981054785,0.668173002208724,0.848915414522742,0.8997186611870429,1.0814370865371314,1.0682442481054408,1.0191444808507033,0.9341098678082432,1.0572863654850708,0.5399972925194922,0.5423479145050933,0.4960042778913514,0.5988350775914879,0.6116753096240573,0.4973583865852056,0.5053506025901995,0.49277407153021613,0.5103379817205328,0.4466648633230479,0.2937235956093248,0.4277249145959928,0.5132388015976446,0.4140431222851473,0.2519901716247007,0.20349190373920556,0.22961216652159622,0.18510529852997226,0.13935083268019444,0.22614725309678996,0.20476462962862296,0.16690701297953736,0.1681842704599854,0.33819793092985484,0.35390739201332666,0.9056553629613843,0.9108867504051799,0.8949418347539525,0.9008397449692794,0.8922544069139454,0.12240292041423351,0.10591135976561339,0.2897973315500495,0.2212136832574798,0.19032740418267968,0.06345724257689844,0.39960815698710517,0.011426355522760834,0.031308067944513684,0.1079432958254315,0.5081535196234769,0.5307764078581731,0.5061898453039978,0.529724501221555,0.5139856915000816,1.0330241993204579,1.0284293535327633,1.0279613444752111,1.0544640443097832,1.0323416552839562
0.5,0.9082130566728757,0.9100712434946348,0.8985574960064787,0.9217005101767465,0.9085244761169013,2.540150867373101,2.791426861176504,2.089028505963602,2.5484133495266024,2.679924024450104,0.26110942156404815,0.1808936646402628,0.12395551764212298,0.2482847880426433,0.13527022756957985,0.06291269222240548,0.465052266711085,0.3128037267858146,0.020152998090288365,0.19661477733020494,0.430311602047118,0.40989574295249454,0.37657182045933574,0.3732528507852346,0.29657275930113924,0.351521529657951,0.3123105663104069,0.4117211907450766,0.3519687895353689,0.4365558002944163,0.18865519800055064,0.3228442468956465,0.4979044253470568,0.6378281625527438,0.5063423112662369,0.2891370181035984,0.048764492664627124,0.1381793045668862,0.24085318159930136,0.2121480254042991,1.0286746661562627,1.0147118040489764,1.0437770266987894,1.005549276231866,0.774824596555842,2.785061796929925,2.777338618273025,2.8977122261007358,2.8921926052855214,2.971021385847639,0.44211104497196807,0.39289792320279426,1.014952325444403,0.9912912333874786,0.3031282035465501,1.6563977517153652,0.6705890667458201,1.247932355745255,1.3871064260684207,0.9620724623514887,0.6556775052772015,0.43410110106733835,0.6420443362762558,0.8252776724698534,0.8864874673503382,1.0517462631101273,1.0603956887745398,1.018816761038604,0.9610607320282613,1.0495823341531194,0.5025374058793566,0.47459907012593394,0.5114092353342634,0.5693576508373266,0.6440238093996862,0.49986133734214366,0.5078371841787043,0.49527642566391417,0.512829441884693,0.44915713483975317,0.0997702790413807,0.5265294279732068,0.5472268502920763,0.5937814381551654,0.5290485655845757,0.30622535585500765,0.22384840400175932,0.08372085726761791,0.10074297083256156,0.21848312606324094,0.1977534761515818,0.2783803674358175,0.2551593300829831,0.14088323157094063,0.15752726944744766,0.7976640335593127,0.7928134275285528,0.7885116662774309,0.7931325672238504,0.7846883276597322,0.12615832774580127,0.10964714648309848,0.28712471271649065,0.2185475865460098,0.187635297631761,0.06345724257689844,0.39960815698710517,0.006142748241611873,0.031308067944513684,0.11321870396323064,0.5007477837562975,0.5233331435404047,0.498789708845792,0.5223154927998378,0.5065776512398861,1.051710497767768,1.0468297510403346,1.037649627913909,1.0768262676909148,1.0640298907728214
