feature_name,feature_importance,rank
ic.eps.max,0.6611886167855636,1
ela_meta.lin_simple.intercept,0.09054655503273831,2
ela_meta.quad_w_interact.adj_r2,0.08279968053117144,3
ic.eps.ratio,0.07211898922195308,4
ela_meta.lin_simple.coef.max,0.06644779133839367,5
ela_distr.skewness,0.06544132805830916,6
ela_level.mmce_lda_10,0.021621153585216202,7
nbc.nb_fitness.cor,0.019222663126061662,8
disp.ratio_mean_02,0.018116634706817597,9
ic.eps.s,0.018014356457353393,10
disp.diff_mean_02,0.017473256293812606,11
nbc.nn_nb.cor,0.015145819085442068,12
disp.ratio_median_02,0.010553459322706994,13
disp.ratio_mean_05,0.010457275736518223,14
ela_level.lda_mda_25,0.008623329170939067,15
ela_level.mmce_mda_10,0.008498056654066801,16
nbc.dist_ratio.coeff_var,0.008076953490825744,17
ic.h.max,0.007451445223812996,18
ela_meta.lin_simple.coef.min,0.007023739513293222,19
ela_level.qda_mda_10,0.00699179581059605,20
ela_distr.kurtosis,0.006767445688259638,21
disp.diff_median_10,0.006132319754801387,22
disp.ratio_mean_10,0.005135221166901765,23
disp.ratio_median_05,0.004744872626727197,24
nbc.nn_nb.sd_ratio,0.004623824622523998,25
ela_level.mmce_qda_25,0.004157743408541647,26
pca.expl_var_PC1.cor_x,0.003710673874466087,27
ela_meta.lin_simple.coef.max_by_min,0.003426637085921118,28
disp.diff_mean_10,0.003393632806316308,29
nbc.nn_nb.mean_ratio,0.003093528894079765,30
pca.expl_var_PC1.cov_init,0.003079466782649963,31
disp.ratio_mean_25,0.0028915285870801844,32
disp.diff_mean_05,0.0028792559485791153,33
disp.ratio_median_25,0.0024868688593243167,34
disp.diff_median_02,0.0024662879108924155,35
ela_meta.quad_simple.adj_r2,0.002256802440088385,36
disp.ratio_median_10,0.0021441835041244904,37
disp.diff_median_05,0.0020650579725806804,38
ela_level.mmce_lda_50,0.0020623054051750393,39
ic.m0,0.0020369291335559946,40
ela_meta.quad_simple.cond,0.0018396054011402974,41
ela_level.qda_mda_50,0.001812517983010046,42
ela_level.mmce_qda_10,0.0018097902974673914,43
ela_level.mmce_qda_50,0.0017956972289106974,44
ela_level.lda_qda_10,0.001750441773660304,45
ela_level.lda_mda_50,0.0017422268796396276,46
ela_level.lda_qda_50,0.0015290222396198176,47
ela_distr.number_of_peaks,0.0013334214199048591,48
ela_meta.lin_simple.adj_r2,0.001327868583922584,49
disp.diff_median_25,0.001277027613393737,50
ela_level.mmce_lda_25,0.001191451091226019,51
ela_level.mmce_mda_50,0.0010503894795168595,52
ela_level.lda_qda_25,0.001048199862544555,53
pca.expl_var_PC1.cor_init,0.0010015033201403328,54
ela_level.mmce_mda_25,0.0009292774056443243,55
ela_meta.lin_w_interact.adj_r2,0.0008765102478930595,56
ela_level.qda_mda_25,0.000872220491119768,57
pca.expl_var.cor_init,0.0005902743429396895,58
ela_level.lda_mda_10,0.0005819273805256371,59
disp.diff_mean_25,0.0004998353943718115,60
pca.expl_var.cov_init,0.0,61
