feature_name,feature_importance,rank
ic.eps.max,0.6798369848819729,1
ela_meta.lin_simple.intercept,0.1484592724214661,2
ela_meta.quad_w_interact.adj_r2,0.08003726164307111,3
ic.eps.ratio,0.06269861944245617,4
ela_distr.skewness,0.06211048608989165,5
ela_level.mmce_mda_10,0.021924547908085054,6
ela_level.mmce_lda_10,0.01347554214310738,7
ela_meta.lin_simple.coef.max,0.012298067284202846,8
disp.diff_mean_25,0.00866269718828964,9
nbc.nb_fitness.cor,0.008348330044194083,10
disp.diff_median_05,0.008336049347038386,11
disp.ratio_median_02,0.00793110369736402,12
disp.ratio_mean_10,0.007788967428538365,13
disp.diff_median_10,0.007465404444221837,14
ela_level.lda_mda_25,0.0071200940134204214,15
nbc.nn_nb.mean_ratio,0.006317953074470634,16
disp.ratio_median_05,0.006300302201596446,17
ela_level.lda_qda_25,0.0062722575298863855,18
ic.h.max,0.005790552292651573,19
disp.ratio_mean_02,0.005525639025655432,20
nbc.nn_nb.sd_ratio,0.005079269820820802,21
ela_level.mmce_mda_50,0.004792030432100585,22
ela_meta.lin_simple.coef.max_by_min,0.0030862927467119553,23
ela_level.qda_mda_50,0.0016527034083441093,24
ela_level.mmce_qda_25,0.0014694044432826344,25
disp.ratio_median_25,0.0009324973238699841,26
ela_meta.lin_w_interact.adj_r2,0.0008276434816127368,27
disp.diff_median_25,0.0005627544847125806,28
ela_level.qda_mda_10,0.0005289939986880889,29
pca.expl_var_PC1.cor_x,0.00048779195274411906,30
disp.ratio_mean_25,0.00046027640454476576,31
ela_meta.lin_simple.coef.min,0.00041004779941859363,32
ela_meta.quad_simple.adj_r2,0.0,33
nbc.dist_ratio.coeff_var,0.0,34
ela_meta.quad_simple.cond,0.0,35
nbc.nn_nb.cor,0.0,36
pca.expl_var.cov_init,0.0,37
ic.eps.s,0.0,38
pca.expl_var.cor_init,0.0,39
ic.m0,0.0,40
pca.expl_var_PC1.cor_init,0.0,41
disp.diff_mean_02,0.0,42
ela_meta.lin_simple.adj_r2,0.0,43
ela_level.lda_mda_50,0.0,44
disp.diff_mean_10,0.0,45
disp.diff_median_02,0.0,46
disp.ratio_mean_05,0.0,47
disp.ratio_median_10,0.0,48
ela_distr.kurtosis,0.0,49
ela_distr.number_of_peaks,0.0,50
ela_level.lda_mda_10,0.0,51
ela_level.lda_qda_10,0.0,52
ela_level.qda_mda_25,0.0,53
ela_level.lda_qda_50,0.0,54
ela_level.mmce_lda_25,0.0,55
ela_level.mmce_lda_50,0.0,56
ela_level.mmce_mda_25,0.0,57
disp.diff_mean_05,0.0,58
ela_level.mmce_qda_10,0.0,59
ela_level.mmce_qda_50,0.0,60
pca.expl_var_PC1.cov_init,0.0,61
