feature_name,feature_importance,rank
ic.eps.max,0.5688396083856208,1
ic.eps.ratio,0.19647607568928757,2
ela_meta.lin_simple.intercept,0.07717205400255639,3
ela_distr.skewness,0.07063631856185727,4
ela_meta.quad_w_interact.adj_r2,0.06380141237182461,5
ela_level.mmce_mda_10,0.03143898108022353,6
ela_meta.lin_simple.coef.max,0.026287149966106486,7
ic.eps.s,0.02580059743402918,8
ela_level.mmce_lda_10,0.02353965169828664,9
pca.expl_var_PC1.cov_init,0.022240712794529948,10
disp.diff_mean_25,0.01680337453189208,11
nbc.nb_fitness.cor,0.00976572278348517,12
disp.ratio_median_02,0.007751058917259961,13
disp.ratio_median_10,0.007672134603590407,14
disp.diff_median_02,0.006912334461114631,15
ela_meta.lin_simple.adj_r2,0.006890955241790318,16
nbc.nn_nb.sd_ratio,0.0064138428372945075,17
ela_level.lda_qda_25,0.006268271026595108,18
disp.ratio_median_05,0.006243217377792095,19
nbc.nn_nb.mean_ratio,0.005699044907504072,20
disp.ratio_mean_02,0.005444404441016706,21
ela_level.mmce_mda_50,0.004474307568250906,22
ela_level.qda_mda_50,0.00236624443611791,23
disp.ratio_median_25,0.0014897633068502356,24
nbc.dist_ratio.coeff_var,0.0007679551083419698,25
ela_level.mmce_qda_25,0.000671020811437044,26
ela_meta.lin_w_interact.adj_r2,0.0005989011403541365,27
ela_level.qda_mda_10,0.0005362909168148353,28
pca.expl_var_PC1.cor_x,0.0004924330506110311,29
disp.ratio_mean_25,0.00046027640454476517,30
ela_meta.lin_simple.coef.min,0.00041680831490691956,31
disp.diff_median_25,0.00039872182259096376,32
nbc.nn_nb.cor,0.0,33
disp.diff_median_10,0.0,34
disp.diff_median_05,0.0,35
ela_meta.quad_simple.cond,0.0,36
pca.expl_var.cov_init,0.0,37
ic.m0,0.0,38
disp.diff_mean_10,0.0,39
ic.h.max,0.0,40
disp.ratio_mean_05,0.0,41
disp.ratio_mean_10,0.0,42
pca.expl_var.cor_init,0.0,43
pca.expl_var_PC1.cor_init,0.0,44
ela_level.lda_qda_10,0.0,45
ela_meta.quad_simple.adj_r2,0.0,46
ela_level.lda_mda_50,0.0,47
ela_meta.lin_simple.coef.max_by_min,0.0,48
ela_distr.kurtosis,0.0,49
ela_distr.number_of_peaks,0.0,50
ela_level.qda_mda_25,0.0,51
ela_level.mmce_qda_50,0.0,52
ela_level.mmce_qda_10,0.0,53
disp.diff_mean_05,0.0,54
ela_level.mmce_mda_25,0.0,55
ela_level.lda_mda_10,0.0,56
ela_level.mmce_lda_50,0.0,57
ela_level.mmce_lda_25,0.0,58
ela_level.lda_mda_25,0.0,59
ela_level.lda_qda_50,0.0,60
disp.diff_mean_02,0.0,61
